,pred_1,pred_2,pred_3,pred_4,pred_5,gt,orig_index
0,No,No,No,No,No,True,257
1,Yes,Yes,Yes,Yes,No,True,538
2,Yes,Yes,Yes,Yes,Yes,True,1792
3,Yes,Yes,Yes,Yes,Yes,True,442
4,Yes,Yes,Yes,Yes,Yes,True,803
5,No,Yes,Yes,Yes,Yes,True,182
6,Yes,Yes,No,Yes,Yes,True,1520
7,Yes,Yes,Yes,Yes,Yes,True,2301
8,Yes,Yes,Yes,Yes,Yes,True,1406
9,Yes,Yes,Yes,Yes,Yes,True,1811
10,Yes,Yes,Yes,Yes,No,True,367
11,No,No,No,Yes,No,True,1923
12,Yes,Yes,Yes,Yes,Yes,True,504
13,Yes,Yes,Yes,Yes,Yes,True,1518
14,Yes,Yes,Yes,Yes,Yes,True,166
15,No,Yes,Yes,No,No,True,1436
16,Yes,Yes,Yes,Yes,Yes,True,1461
17,No,No,No,No,No,True,976
18,Yes,Yes,Yes,Yes,No,True,117
19,Yes,Yes,Yes,Yes,Yes,True,1466
20,Yes,Yes,Yes,No,Yes,False,590
21,Yes,Yes,Yes,Yes,Yes,False,1141
22,No,No,No,No,No,True,1607
23,Yes,Yes,Yes,Yes,No,False,1430
24,Yes,No,Yes,Yes,Yes,False,1770
25,Yes,No,Yes,Yes,Yes,False,797
26,Yes,Yes,Yes,No,No,True,735
27,No,Yes,Yes,No,Yes,False,932
28,Yes,Yes,Yes,Yes,Yes,False,2016
29,Yes,No,Yes,No,No,False,1295
30,No,No,No,No,Yes,False,180
31,Yes,Yes,Yes,Yes,Yes,False,2144
32,No,No,No,No,No,False,446
33,Yes,Yes,Yes,Yes,Yes,False,1700
34,Yes,Yes,Yes,Yes,Yes,False,93
35,No,Yes,No,Yes,No,False,1078
36,Yes,Yes,Yes,Yes,Yes,False,392
37,Yes,Yes,Yes,Yes,Yes,True,449
38,Yes,Yes,Yes,Yes,Yes,False,949
39,Yes,No,Yes,Yes,Yes,False,1955
40,Yes,Yes,Yes,Yes,Yes,False,2239
41,Yes,Yes,Yes,Yes,Yes,False,336
42,Yes,Yes,Yes,Yes,Yes,False,1447
43,Yes,Yes,Yes,Yes,Yes,False,1644
44,Yes,Yes,No,Yes,Yes,False,56
45,Yes,Yes,Yes,Yes,Yes,False,2228
46,Yes,Yes,Yes,Yes,Yes,False,1144
47,No,No,No,No,No,False,2345
48,Yes,Yes,Yes,Yes,Yes,False,866
49,No,Yes,No,No,Yes,False,936
50,Yes,Yes,No,No,No,False,576
51,Yes,Yes,Yes,Yes,Yes,False,1527
52,Yes,Yes,Yes,Yes,Yes,False,1276
53,Yes,Yes,Yes,Yes,Yes,False,535
54,No,No,Yes,Yes,No,False,197
55,Yes,Yes,Yes,Yes,Yes,False,255
56,No,Yes,No,No,No,False,2092
57,Yes,Yes,Yes,Yes,Yes,False,2178
58,Yes,Yes,Yes,Yes,Yes,False,215
59,No,No,Yes,Yes,Yes,False,1080
60,No,Yes,Yes,No,No,False,2019
61,Yes,Yes,Yes,Yes,Yes,False,1990
62,Yes,Yes,Yes,Yes,Yes,False,2292
63,Yes,Yes,Yes,Yes,Yes,False,1204
64,Yes,Yes,Yes,Yes,Yes,False,1682
65,No,No,No,No,Yes,True,470
66,Yes,Yes,Yes,Yes,Yes,False,172
67,No,No,Yes,Yes,Yes,False,628
68,Yes,Yes,Yes,Yes,Yes,False,488
69,Yes,Yes,Yes,Yes,Yes,False,1479
70,Yes,Yes,Yes,No,Yes,False,1156
71,Yes,Yes,No,Yes,Yes,False,1347
72,Yes,Yes,Yes,Yes,Yes,True,750
73,No,No,Yes,No,No,False,1984
74,Yes,Yes,Yes,Yes,Yes,False,1189
75,Yes,Yes,Yes,Yes,Yes,False,626
76,Yes,Yes,Yes,Yes,Yes,False,971
77,No,No,No,No,No,True,456
78,Yes,Yes,Yes,Yes,Yes,False,1476
79,No,Yes,Yes,No,Yes,False,727
80,Yes,Yes,Yes,Yes,Yes,False,1060
81,Yes,Yes,Yes,Yes,Yes,False,2054
82,Yes,Yes,Yes,Yes,Yes,False,1825
83,No,No,No,No,No,False,1110
84,Yes,Yes,Yes,Yes,Yes,False,1109
85,Yes,Yes,Yes,Yes,Yes,False,213
86,No,Yes,Yes,No,Yes,False,463
87,Yes,Yes,Yes,Yes,Yes,False,1707
88,Yes,Yes,Yes,Yes,Yes,False,1777
89,Yes,No,No,No,No,False,1104
90,Yes,Yes,Yes,No,Yes,False,372
91,Yes,Yes,Yes,Yes,Yes,False,744
92,Yes,Yes,Yes,Yes,Yes,True,263
93,No,No,No,No,Yes,False,1471
94,Yes,Yes,No,Yes,Yes,True,516
95,Yes,Yes,No,Yes,Yes,False,1081
96,Yes,Yes,Yes,Yes,Yes,False,242
97,Yes,Yes,Yes,Yes,Yes,False,2023
98,No,Yes,Yes,Yes,No,False,135
99,Yes,Yes,Yes,Yes,Yes,True,1762
