,pred_1,pred_2,pred_3,pred_4,pred_5,gt
0,Yes,No,No,No,No,0
1,No,No,No,No,No,1
2,No,No,No,No,No,0
3,No,No,Yes,No,No,0
4,No,No,No,Yes,No,1
5,Yes,No,No,No,Yes,0
6,No,No,No,No,No,0
7,Yes,No,No,No,No,0
8,No,No,No,No,No,0
9,Yes,No,Yes,No,No,1
10,No,No,No,No,No,1
11,No,No,No,No,No,0
12,No,No,No,No,No,0
13,No,Yes,No,No,No,1
14,No,No,No,No,No,0
15,No,No,No,No,Yes,0
16,No,No,No,No,No,0
17,No,No,No,No,No,1
18,No,No,Yes,No,No,1
19,No,No,No,No,No,0
20,No,No,No,No,No,1
21,No,No,No,No,No,0
22,No,No,No,No,No,1
23,No,No,No,No,No,0
24,No,No,No,No,No,1
25,No,No,No,No,No,1
26,No,No,No,No,No,0
27,No,No,No,No,No,1
28,No,No,No,No,No,0
29,No,No,No,No,No,0
30,No,No,No,No,No,0
31,No,No,No,No,No,0
32,No,No,No,No,No,0
33,No,No,No,No,No,1
34,No,No,No,No,No,1
35,No,No,No,No,No,1
36,No,No,No,No,No,0
37,No,No,No,No,No,0
38,No,No,No,No,No,0
39,No,No,No,No,No,0
40,No,No,No,No,No,0
41,No,No,No,No,No,1
42,No,No,No,No,No,1
43,No,No,Yes,No,No,0
44,No,No,No,No,No,1
45,No,No,No,No,No,1
46,No,No,No,No,Yes,1
47,No,No,No,No,No,0
48,No,No,No,No,No,1
49,No,No,No,No,No,0
50,No,No,No,No,No,0
51,Yes,No,No,No,No,0
52,No,No,No,No,No,1
53,Yes,No,No,No,No,0
54,No,Yes,No,No,No,0
55,No,No,No,No,No,1
56,No,No,No,No,No,0
57,Yes,No,No,No,No,0
58,No,No,No,No,No,1
59,No,No,No,No,No,0
60,No,No,No,No,No,0
61,Yes,No,No,No,No,0
62,No,No,No,No,No,1
63,No,No,No,No,No,0
64,No,No,No,No,No,0
65,Yes,No,No,No,No,0
66,No,No,No,No,No,0
67,No,No,No,No,No,1
68,No,No,No,No,No,0
69,No,No,No,No,No,0
70,No,No,No,No,No,0
71,No,No,No,No,No,0
72,No,No,No,No,No,0
73,No,No,No,No,No,0
74,No,No,No,Yes,No,0
75,No,No,No,No,No,0
76,No,No,No,Yes,Yes,0
77,No,No,No,No,No,0
78,No,Yes,No,No,No,0
79,No,No,No,No,No,0
80,No,No,No,No,No,1
81,No,No,No,No,No,0
82,No,No,No,No,No,0
83,No,No,No,No,No,0
84,No,No,No,No,No,0
85,No,No,No,No,No,0
86,No,Yes,No,No,No,0
87,No,No,No,No,No,0
88,No,Yes,No,No,No,0
89,No,No,No,No,No,0
90,No,No,No,Yes,No,0
91,No,No,No,No,Yes,0
92,No,No,Yes,No,No,0
93,No,No,No,No,No,0
94,No,No,No,No,No,0
95,No,No,No,No,No,0
96,No,No,No,No,No,0
97,No,No,No,No,No,0
98,No,No,No,No,No,0
99,No,No,Yes,Yes,No,0
